theta,F
0,25.1209
0.003,25.1209
0.006,25.1209
0.009,25.1209
0.012,25.1209
0.015,25.1209
0.018,25.1209
0.021,25.1209
0.024,25.1209
0.027,25.1209
0.03,25.1209
0.033,25.1209
0.036,25.1209
0.039,25.1209
0.042,25.1209
0.045,25.1209
0.048,25.1209
0.051,25.1209
0.054,25.1209
0.057,25.1209
0.06,25.1209
0.063,25.1209
0.066,25.1209
0.069,25.1209
0.072,25.1209
0.075,25.1209
0.078,25.1209
0.081,25.1209
0.084,25.1209
0.087,25.1209
0.09,25.1209
0.093,25.1209
0.096,25.1209
0.099,25.1209
0.102,25.1209
0.105,25.1209
0.108,25.1209
0.111,25.1209
0.114,25.1209
0.117,25.1209
0.12,25.1209
0.123,25.1209
0.126,25.1209
0.129,25.1209
0.132,25.1209
0.135,25.1209
0.138,25.1209
0.141,25.1209
0.144,25.1209
0.147,25.1209
0.15,25.1209
0.153,25.1209
0.156,25.1209
0.159,25.1209
0.162,25.1209
0.165,25.1209
0.168,25.1209
0.171,25.1209
0.174,25.1209
0.177,25.1209
0.18,25.1209
0.183,25.1209
0.186,25.1209
0.189,25.1209
0.192,25.1209
0.195,25.1209
0.198,25.1209
0.201,25.1209
0.204,25.1209
0.207,25.1209
0.21,25.1209
0.213,25.1209
0.216,25.1209
0.219,25.1209
0.222,25.1209
0.225,25.1209
0.228,25.1209
0.231,25.1209
0.234,25.1209
0.237,25.1209
0.24,25.1209
0.243,25.1209
0.246,25.1209
0.249,25.1209
0.252,25.1209
0.255,25.1209
0.258,25.1209
0.261,25.1209
0.264,25.1209
0.267,25.1209
0.27,25.1209
0.273,25.1209
0.276,25.1209
0.279,25.1209
0.282,25.1209
0.285,25.1209
0.288,25.1209
0.291,25.1209
0.294,25.1209
0.297,25.1209
0.3,25.1209
0.303,25.1209
0.306,25.1209
0.309,25.1209
0.312,25.1209
0.315,25.1209
0.318,25.1209
0.321,25.1209
0.324,25.1209
0.327,25.1209
0.33,25.1209
0.333,25.1209
0.336,25.1209
0.339,25.1209
0.342,25.1209
0.345,25.1209
0.348,25.1209
0.351,25.1209
0.354,25.1209
0.357,25.1209
0.36,25.1209
0.363,25.1209
0.366,25.1209
0.369,25.1209
0.372,25.1209
0.375,25.1209
0.378,25.1209
0.381,25.1209
0.384,25.1209
0.387,25.1209
0.39,25.1209
0.393,25.1209
0.396,25.1209
0.399,25.1209
0.402,25.1209
0.405,25.1209
0.408,25.1209
0.411,25.1209
0.414,25.1209
0.417,25.1209
0.42,25.1209
0.423,25.1209
0.426,25.1209
0.429,25.1209
0.432,25.1209
0.435,25.1209
0.438,25.1209
0.441,25.1209
0.444,25.1209
0.447,25.1209
0.45,25.1209
0.453,25.1209
0.456,25.1209
0.459,25.1209
0.462,25.1209
0.465,25.1209
0.468,25.1209
0.471,25.1209
0.474,25.1209
0.477,25.1209
0.48,25.1209
0.483,25.1209
0.486,25.1209
0.489,25.1209
0.492,25.1209
0.495,25.1209
0.498,25.1209
0.501,25.1209
0.504,25.1209
0.507,25.1209
0.51,25.1209
0.513,25.1209
0.516,25.1209
0.519,25.1209
0.522,25.1209
0.525,25.1209
0.528,25.1209
0.531,25.1209
0.534,25.1209
0.537,25.1209
0.54,25.1209
0.543,25.1209
0.546,25.1209
0.549,25.1209
0.552,25.1209
0.555,25.1209
0.558,25.1209
0.561,25.1209
0.564,25.1209
0.567,25.1209
0.57,25.1209
0.573,25.1209
0.576,25.1209
0.579,25.1209
0.582,25.1209
0.585,25.1209
0.588,25.1209
0.591,25.1209
0.594,25.1209
0.597,25.1209
0.6,25.1209
0.603,25.1209
0.606,25.1209
0.609,25.1209
0.612,25.1209
0.615,25.1209
0.618,25.1209
0.621,25.1209
0.624,25.1209
0.627,25.1209
0.63,25.1209
0.633,25.1209
0.636,25.1209
0.639,25.1209
0.642,25.1209
0.645,25.1209
0.648,25.1209
0.651,25.1209
0.654,23.8726
0.657,23.8726
0.66,23.8726
0.663,23.8726
0.666,23.8726
0.669,23.8726
0.672,23.8726
0.675,23.8726
0.678,23.8726
0.681,23.8726
0.684,23.8726
0.687,23.8726
0.69,23.8726
0.693,23.8726
0.696,23.8726
0.699,23.8726
0.702,23.8726
0.705,23.8726
0.708,23.8726
0.711,23.8726
0.714,23.8726
0.717,23.8726
0.72,23.8726
0.723,23.8726
0.726,23.8726
0.729,23.8726
0.732,23.8726
0.735,23.8726
0.738,23.8726
0.741,23.8726
0.744,23.8726
0.747,23.8726
0.75,23.8726
0.753,23.8726
0.756,23.8726
0.759,23.8726
0.762,23.8726
0.765,23.8726
0.768,23.8726
0.771,23.8726
0.774,23.8726
0.777,23.8726
0.78,23.8726
0.783,23.8726
0.786,23.8726
0.789,23.8726
0.792,23.8726
0.795,23.8726
0.798,23.8726
0.801,23.8726
0.804,23.8726
0.807,23.8726
0.81,23.8726
0.813,23.8726
0.816,23.8726
0.819,23.8726
0.822,23.8726
0.825,23.8726
0.828,23.8726
0.831,23.8726
0.834,23.8726
0.837,23.8726
0.84,23.8726
0.843,23.8726
0.846,23.8726
0.849,23.8726
0.852,23.8726
0.855,23.8726
0.858,23.8726
0.861,23.8726
0.864,23.8726
0.867,23.8726
0.87,23.8726
0.873,23.8726
0.876,23.8726
0.879,23.8726
0.882,23.8726
0.885,23.8726
0.888,23.8726
0.891,23.8726
0.894,23.8726
0.897,23.8726
0.9,23.8726
0.903,23.8726
0.906,23.8726
0.909,23.8726
0.912,23.8726
0.915,23.8726
0.918,23.8726
0.921,23.8726
0.924,23.8726
0.927,23.8726
0.93,23.8726
0.933,23.8726
0.936,23.8726
0.939,23.8726
0.942,22.1295
0.945,22.1295
0.948,22.1295
0.951,22.1295
0.954,22.1295
0.957,22.1295
0.96,22.1295
0.963,22.1295
0.966,22.1295
0.969,22.1295
0.972,22.1295
0.975,22.1295
0.978,22.1295
0.981,22.1295
0.984,22.1295
0.987,22.1295
0.99,22.1295
0.993,22.1295
0.996,22.1295
0.999,22.1295
1.002,22.1295
1.005,22.1295
1.008,22.1295
1.011,22.1295
1.014,22.1295
1.017,22.1295
1.02,22.1295
1.023,22.1295
1.026,22.1295
1.029,22.1295
1.032,22.1295
1.035,22.1295
1.038,22.1295
1.041,22.1295
1.044,22.1295
1.047,22.1295
1.05,22.1295
1.053,22.1295
1.056,22.1295
1.059,22.1295
1.062,22.1295
1.065,22.1295
1.068,22.1295
1.071,22.1295
1.074,22.1295
1.077,22.1295
1.08,22.1295
1.083,22.1295
1.086,22.1295
1.089,22.1295
1.092,22.1295
1.095,22.1295
1.098,22.1295
1.101,22.1295
1.104,22.1295
1.107,22.1295
1.11,22.1295
1.113,22.1295
1.116,22.1295
1.119,22.1295
1.122,22.1295
1.125,22.1295
1.128,22.1295
1.131,22.1295
1.134,22.1295
1.137,22.1295
1.14,21.605
1.143,21.605
1.146,21.605
1.149,21.605
1.152,21.605
1.155,21.605
1.158,21.605
1.161,21.605
1.164,21.605
1.167,21.605
1.17,21.605
1.173,21.605
1.176,21.605
1.179,21.605
1.182,21.605
1.185,21.605
1.188,21.605
1.191,21.605
1.194,21.605
1.197,21.605
1.2,21.605
1.203,21.605
1.206,21.605
1.209,21.605
1.212,21.605
1.215,21.605
1.218,21.605
1.221,21.605
1.224,21.605
1.227,21.605
1.23,21.605
1.233,21.605
1.236,21.605
1.239,21.605
1.242,21.605
1.245,21.605
1.248,21.605
1.251,21.605
1.254,21.605
1.257,21.605
1.26,21.605
1.263,21.605
1.266,21.605
1.269,21.605
1.272,21.605
1.275,21.605
1.278,21.605
1.281,21.605
1.284,21.605
1.287,21.605
1.29,21.605
1.293,21.605
1.296,21.605
1.299,21.605
1.302,21.605
1.305,21.605
1.308,21.605
1.311,21.605
1.314,21.605
1.317,21.605
1.32,21.605
1.323,21.605
1.326,21.605
1.329,21.605
1.332,21.605
1.335,21.605
1.338,21.605
1.341,21.605
1.344,21.605
1.347,21.605
1.35,21.605
1.353,21.605
1.356,21.605
1.359,21.605
1.362,21.605
1.365,21.605
1.368,21.605
1.371,21.605
1.374,21.605
1.377,21.605
1.38,21.605
1.383,21.605
1.386,21.605
1.389,21.605
1.392,21.605
1.395,21.605
1.398,21.605
1.401,21.605
1.404,21.605
1.407,21.605
1.41,21.605
1.413,21.605
1.416,21.605
1.419,21.605
1.422,21.605
1.425,21.605
1.428,21.605
1.431,21.605
1.434,21.605
1.437,21.605
1.44,21.605
1.443,21.605
1.446,21.605
1.449,21.605
