theta,F
0,115739
0.003,115739
0.006,115739
0.009,115739
0.012,115739
0.015,115739
0.018,115739
0.021,115739
0.024,115739
0.027,115739
0.03,115739
0.033,115739
0.036,115738
0.039,115738
0.042,115738
0.045,115737
0.048,115737
0.051,115737
0.054,115736
0.057,115736
0.06,115735
0.063,115735
0.066,115734
0.069,115734
0.072,115732
0.075,115732
0.078,115731
0.081,115729
0.084,115728
0.087,115726
0.09,115725
0.093,115724
0.096,115721
0.099,115719
0.102,115718
0.105,115715
0.108,115713
0.111,115712
0.114,115710
0.117,115707
0.12,115703
0.123,115702
0.126,115702
0.129,115700
0.132,115695
0.135,115693
0.138,115692
0.141,115683
0.144,115681
0.147,115679
0.15,115676
0.153,115674
0.156,115669
0.159,115661
0.162,115662
0.165,115667
0.168,115665
0.171,115663
0.174,115651
0.177,115645
0.18,115639
0.183,115628
0.186,115629
0.189,115624
0.192,115620
0.195,115620
0.198,115617
0.201,115608
0.204,115606
0.207,115606
0.21,115609
0.213,115605
0.216,115595
0.219,115593
0.222,115575
0.225,115569
0.228,115544
0.231,115532
0.234,115529
0.237,115521
0.24,115515
0.243,115515
0.246,115517
0.249,115519
0.252,115507
0.255,115500
0.258,115500
0.261,115491
0.264,115485
0.267,115479
0.27,115470
0.273,115461
0.276,115461
0.279,115456
0.282,115433
0.285,115433
0.288,115386
0.291,115376
0.294,115376
0.297,115350
0.3,115346
0.303,115339
0.306,115339
0.309,115339
0.312,115339
0.315,115334
0.318,115330
0.321,115330
0.324,115313
0.327,115306
0.33,115306
0.333,115306
0.336,115306
0.339,115296
0.342,115296
0.345,115296
0.348,115296
0.351,115284
0.354,115280
0.357,115270
0.36,115246
0.363,115235
0.366,115241
0.369,115241
0.372,115241
0.375,115241
0.378,115223
0.381,115223
0.384,115223
0.387,115201
0.39,115201
0.393,115180
0.396,115122
0.399,115086
0.402,115090
0.405,115060
0.408,115060
0.411,115075
0.414,115064
0.417,115064
0.42,115064
0.423,115064
0.426,115029
0.429,114963
0.432,114963
0.435,114963
0.438,114963
0.441,114963
0.444,114963
0.447,114966
0.45,114966
0.453,114966
0.456,115013
0.459,115029
0.462,115029
0.465,115029
0.468,115004
0.471,115004
0.474,115004
0.477,115004
0.48,115002
0.483,115002
0.486,114984
0.489,114984
0.492,114984
0.495,114984
0.498,114984
0.501,114989
0.504,114989
0.507,114989
0.51,114989
0.513,114989
0.516,114929
0.519,114929
0.522,114917
0.525,114917
0.528,114917
0.531,114917
0.534,114917
0.537,114917
0.54,114917
0.543,114917
0.546,114917
0.549,114917
0.552,114917
0.555,114917
0.558,114917
0.561,114917
0.564,114951
0.567,114840
0.57,114840
0.573,114840
0.576,114840
0.579,114840
0.582,114840
0.585,114840
0.588,114840
0.591,114840
0.594,114840
0.597,114840
0.6,114864
0.603,114864
0.606,114864
0.609,114864
0.612,114896
0.615,114728
0.618,114728
0.621,114728
0.624,114728
0.627,114728
0.63,114699
0.633,114699
0.636,111214
0.639,111214
