x,y,w,h
7.82637e-06,0.00769819,0.99945,0.974852
7.82637e-06,0.495124,0.499725,0.487426
7.82637e-06,0.738837,0.249863,0.243713
0.0283752,0.901673,0,0
7.82637e-06,0.860694,0.124931,0.121857
0.124939,0.860694,0.124931,0.121857
0.247039,0.98255,0,0
0.187405,0.921622,0.0624656,0.0609282
0.131189,0.885648,0,0
0.124939,0.860694,0.0624656,0.0609283
0.24987,0.738837,0.249863,0.243713
0.24987,0.860694,0.124931,0.121857
0.24987,0.860694,0.0624656,0.0609283
0.277082,0.913817,0,0
0.24987,0.891158,0.0312328,0.0304642
0.250126,0.86086,0,0
0.24987,0.860694,0.0312328,0.0304641
0.374802,0.860694,0.124931,0.121857
0.464031,0.961095,0,0
0.437267,0.921622,0.0624656,0.0609282
0.486517,0.897656,0,0
0.437267,0.860694,0.0624656,0.0609283
0.374802,0.738837,0.124931,0.121857
0.412081,0.841511,0,0
0.374802,0.799765,0.0624656,0.0609282
0.43933,0.824697,0,0
0.437267,0.799765,0.0624656,0.0609282
0.24987,0.495124,0.249863,0.243713
0.31925,0.629269,0,0
0.24987,0.616981,0.124931,0.121857
0.374802,0.616981,0.124931,0.121857
0.374802,0.677909,0.0624656,0.0609282
0.406034,0.677909,0.0312328,0.0304641
0.415999,0.701191,0,0
0.406034,0.693141,0.0156164,0.0152321
0.417486,0.686773,0,0
0.406034,0.677909,0.0156164,0.0152321
0.374802,0.495124,0.124931,0.121857
0.471262,0.505956,0,0
0.437267,0.495124,0.0624656,0.0609282
0.383502,0.519416,0,0
0.374802,0.495124,0.0624656,0.0609282
0.351015,0.513274,0,0
0.24987,0.495124,0.124931,0.121857
7.82637e-06,0.495124,0.249863,0.243713
7.82637e-06,0.616981,0.124931,0.121857
7.82637e-06,0.677909,0.0624656,0.0609282
0.0268763,0.70982,0,0
7.82637e-06,0.708373,0.0312328,0.0304641
0.0470446,0.678865,0,0
0.0312406,0.677909,0.0312328,0.0304641
0.0158677,0.688455,0,0
7.82637e-06,0.677909,0.0312328,0.0304641
0.0919649,0.653919,0,0
0.0624735,0.616981,0.0624656,0.0609283
0.124939,0.616981,0.124931,0.121857
